"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),Measurement type (type of mass balance observation),MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
2,2022-10-01T12:00,2023-09-30T12:00,364,1,-72471.58725,215771.554,2806.67,4,,900,5,-3816,5,1,485.4,300.0,381.6,MSW
3,2022-10-01T12:00,2023-09-30T12:00,364,1,-72197.6943,215926.3181,2868.03,4,,900,5,-2574,5,1,395.3,300.0,257.4,MSW
4,2022-10-01T12:00,2023-09-30T12:00,364,1,-72445.60091,216163.2883,2923.54,4,,900,5,-3105,5,1,431.8,300.0,310.5,MSW
5,2022-10-01T12:00,2023-09-30T12:00,364,1,-72757.78403,216291.7602,2941.25,4,,900,5,-3285,5,1,444.9,300.0,328.5,MSW
8,2022-10-01T12:00,2023-09-30T12:00,364,1,-72866.27656,216677.6983,3040.14,4,,900,5,-2898,5,1,417.1,300.0,289.8,MSW
10,2022-10-01T12:00,2023-09-30T12:00,364,1,-72533.60743,216580.4356,3032.59,4,,900,5,-1836,5,1,351.8,300.0,183.6,MSW
11,2022-10-01T12:00,2023-09-30T12:00,364,1,-72204.70706,216459.7769,3040.1,4,,900,5,-2637,5,1,399.5,300.0,263.7,MSW
12,2022-10-01T12:00,2023-09-30T12:00,364,1,-72228.56882,216912.9409,3150.88,4,,900,5,-1251,5,1,325.1,300.0,125.1,MSW
13,2022-10-01T12:00,2023-09-30T12:00,364,1,-72602.31701,216371.7977,2971.6,4,,900,5,-2979,5,1,422.8,300.0,297.9,MSW
14,2022-10-01T12:00,2023-09-30T12:00,364,1,-72050.47018,217231.995,3259.15,4,,900,5,-1458,5,1,333.6,300.0,145.8,MSW
15,2022-10-01T12:00,2023-09-30T12:00,364,1,-71823.97234,216197.0753,3046.2,4,,900,5,-2088,5,1,365.5,300.0,208.8,MSW
16,2022-10-01T12:00,2023-09-30T12:00,364,1,-72439.83403,217726.3149,3367.82,4,,900,5,-1386,5,1,330.5,300.0,138.6,MSW
19,2022-10-01T12:00,2023-09-30T12:00,364,1,-72939.33117,217368.3059,3272.2,4,,900,5,-2556,5,1,394.2,300.0,255.6,MSW
S3,2022-10-01T12:00,2023-09-30T12:00,364,1,-72842.21121,217503.6502,3303.88,4,,900,5,-1296,5,1,326.8,300.0,129.6,MSW
