Name (stake, sounding, probing);Date/Time (begin of period);Date/Time (end of period);Duration [days] (period length);QF date (quality identifier for date);x [m] (x-position of stake, EPSG:31255);y [m] (y-position of stake, EPSG:31255);z [m] (elevation of stake);QF pos (quality identifier for position);MB raw [cm] (raw mass balance measurement);Dens snow/firn/ice [kg/m**3];QF rho (quality identifier for density);MB point [mm w.e./kg/m**2];QF measurement (quality identifier for stake ...);measurement_type;MB point unc [mm w.e.] (Uncertainty of point mass bal...);Reading unc [mm w.e.] (Reading uncertainty of point ...);Density unc [mm w.e.] (Density uncertainty of point ...);Observer
2;2022-10-01T12:00;2023-07-23T12:00;295;1;-72471,58725;215771,554;2806,67;4;-114;900;1;-1026;1;1;21,1;5;20,5;MSW
3;2022-10-01T12:00;2023-07-23T12:00;295;1;-72197,6943;215926,3181;2868,03;4;-55;900;1;-495;1;1;11,1;5;9,9;MSW
4;2022-10-01T12:00;2023-07-23T12:00;295;1;-72445,60091;216163,2883;2923,54;4;-115;900;1;-1035;1;1;21,3;5;20,7;MSW
5;2022-10-01T12:00;2023-07-23T12:00;295;1;-72757,78403;216291,7602;2941,25;4;-56;900;1;-504;1;1;11,3;5;10,1;MSW
8;2022-10-01T12:00;2023-07-23T12:00;295;1;-72866,27656;216677,6983;3040,14;4;-29;900;1;-261;1;1;7,2;5;5,2;MSW
12;2022-10-01T12:00;2023-07-23T12:00;295;1;-72228,56882;216912,9409;3150,88;4;0;900;1;0;1;1;5;5;0;MSW
13;2022-10-01T12:00;2023-07-23T12:00;295;1;-72602,31701;216371,7977;2971,6;4;-85;900;1;-765;1;1;16,1;5;15,3;MSW
14;2022-10-01T12:00;2023-07-23T12:00;295;1;-72050,47018;217231,995;3259,15;4;0;900;1;0;1;1;5;5;0;MSW
16;2022-10-01T12:00;2023-07-23T12:00;295;1;-72439,83403;217726,3149;3367,82;4;0;900;1;0;1;1;5;5;0;MSW
19;2022-10-01T12:00;2023-07-23T12:00;295;1;-72939,33117;217368,3059;3272,2;4;-79;900;1;-711;1;1;15,1;5;14,2;MSW
S3;2022-10-01T12:00;2023-07-23T12:00;295;1;-72842,21121;217503,6502;3303,88;4;0;900;1;0;1;1;5;5;0;MSW
2;2023-07-23T12:00;2023-08-18T12:00;26;1;-72471,58725;215771,554;2806,67;4;-127;900;1;-1143;1;1;23,4;5;22,9;MSW
