"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
2,2022-10-01T12:00,2023-09-30T12:00,364,1,-72471.587253,215771.554025,2806.67,4,,,5,-3816.0,5,1,485.4,300.0,381.6,MSW
3,2022-10-01T12:00,2023-09-30T12:00,364,1,-72197.694303,215926.318099,2868.03,4,,,5,-2574.0,5,1,395.3,300.0,257.4,MSW
4,2022-10-01T12:00,2023-09-30T12:00,364,1,-72445.600905,216163.288327,2923.54,4,,,5,-3105.0,5,1,431.8,300.0,310.5,MSW
5,2022-10-01T12:00,2023-09-30T12:00,364,1,-72757.784028,216291.760198,2941.25,4,,,5,-3285.0,5,1,444.9,300.0,328.5,MSW
8,2022-10-01T12:00,2023-09-30T12:00,364,1,-72866.276561,216677.698349,3040.14,4,,,5,-2898.0,5,1,417.1,300.0,289.8,MSW
10,2022-10-01T12:00,2023-09-30T12:00,364,1,-72533.607431,216580.435621,3032.59,4,,,5,-1836.0,5,1,351.8,300.0,183.6,MSW
11,2022-10-01T12:00,2023-09-30T12:00,364,1,-72204.707064,216459.776882,3040.1,4,,,5,-2637.0,5,1,399.5,300.0,263.7,MSW
12,2022-10-01T12:00,2023-09-30T12:00,364,1,-72228.568817,216912.940896,3150.88,4,,,5,-1251.0,5,1,325.1,300.0,125.1,MSW
13,2022-10-01T12:00,2023-09-30T12:00,364,1,-72602.317014,216371.7977,2971.6,4,,,5,-2979.0,5,1,422.8,300.0,297.9,MSW
14,2022-10-01T12:00,2023-09-30T12:00,364,1,-72050.47018,217231.994983,3259.15,4,,,5,-1458.0,5,1,333.6,300.0,145.8,MSW
15,2022-10-01T12:00,2023-09-30T12:00,364,1,-71823.972336,216197.075345,3046.2,4,,,5,-2088.0,5,1,365.5,300.0,208.8,MSW
16,2022-10-01T12:00,2023-09-30T12:00,364,1,-72439.834029,217726.314909,3367.82,4,,,5,-1386.0,5,1,330.5,300.0,138.6,MSW
19,2022-10-01T12:00,2023-09-30T12:00,364,1,-72939.331168,217368.30593,3272.2,4,,,5,-2556.0,5,1,394.2,300.0,255.6,MSW
S3,2022-10-01T12:00,2023-09-30T12:00,364,1,-72842.211214,217503.650213,3303.88,4,,,5,-1296.0,5,1,326.8,300.0,129.6,MSW
