"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
2,2022-10-01T12:00,2023-07-23T12:00,295,1,-72471.587253,215771.554025,2806.67,4,-114.0,900.0,1,-1026.0,1,1,21.1,5.0,20.5,MSW
3,2022-10-01T12:00,2023-07-23T12:00,295,1,-72197.694303,215926.318099,2868.03,4,-55.0,900.0,1,-495.0,1,1,11.1,5.0,9.9,MSW
4,2022-10-01T12:00,2023-07-23T12:00,295,1,-72445.600905,216163.288327,2923.54,4,-115.0,900.0,1,-1035.0,1,1,21.3,5.0,20.7,MSW
5,2022-10-01T12:00,2023-07-23T12:00,295,1,-72757.784028,216291.760198,2941.25,4,-56.0,900.0,1,-504.0,1,1,11.3,5.0,10.1,MSW
8,2022-10-01T12:00,2023-07-23T12:00,295,1,-72866.276561,216677.698349,3040.14,4,-29.0,900.0,1,-261.0,1,1,7.2,5.0,5.2,MSW
12,2022-10-01T12:00,2023-07-23T12:00,295,1,-72228.568817,216912.940896,3150.88,4,-0.0,900.0,1,-0.0,1,1,5.0,5.0,0.0,MSW
13,2022-10-01T12:00,2023-07-23T12:00,295,1,-72602.317014,216371.7977,2971.6,4,-85.0,900.0,1,-765.0,1,1,16.1,5.0,15.3,MSW
14,2022-10-01T12:00,2023-07-23T12:00,295,1,-72050.47018,217231.994983,3259.15,4,-0.0,900.0,1,-0.0,1,1,5.0,5.0,0.0,MSW
16,2022-10-01T12:00,2023-07-23T12:00,295,1,-72439.834029,217726.314909,3367.82,4,-0.0,900.0,1,-0.0,1,1,5.0,5.0,0.0,MSW
19,2022-10-01T12:00,2023-07-23T12:00,295,1,-72939.331168,217368.30593,3272.2,4,-79.0,900.0,1,-711.0,1,1,15.1,5.0,14.2,MSW
S3,2022-10-01T12:00,2023-07-23T12:00,295,1,-72842.211214,217503.650213,3303.88,4,-0.0,900.0,1,-0.0,1,1,5.0,5.0,0.0,MSW
2,2023-07-23T12:00,2023-08-18T12:00,26,1,-72471.587253,215771.554025,2806.67,4,-127.0,900.0,1,-1143.0,1,1,23.4,5.0,22.9,MSW
3,2023-07-23T12:00,2023-08-18T12:00,26,1,-72197.694303,215926.318099,2868.03,4,-90.0,900.0,1,-810.0,1,1,17.0,5.0,16.2,MSW
4,2023-07-23T12:00,2023-08-18T12:00,26,1,-72445.600905,216163.288327,2923.54,4,-83.0,900.0,1,-747.0,1,1,15.8,5.0,14.9,MSW
5,2023-07-23T12:00,2023-08-18T12:00,26,1,-72757.784028,216291.760198,2941.25,4,-109.0,900.0,1,-981.0,1,1,20.2,5.0,19.6,MSW
8,2023-07-23T12:00,2023-08-18T12:00,26,1,-72866.276561,216677.698349,3040.14,4,-102.0,900.0,1,-918.0,1,1,19.0,5.0,18.4,MSW
10,2022-10-01T12:00,2023-08-18T12:00,321,1,-72533.607431,216580.435621,3032.59,4,-50.0,900.0,1,-450.0,1,1,10.3,5.0,9.0,MSW
11,2022-10-01T12:00,2023-08-18T12:00,321,1,-72204.707064,216459.776882,3040.1,4,-127.0,900.0,1,-1143.0,1,1,23.4,5.0,22.9,MSW
12,2023-07-23T12:00,2023-08-18T12:00,26,1,-72228.568817,216912.940896,3150.88,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,MSW
13,2023-07-23T12:00,2023-08-18T12:00,26,1,-72602.317014,216371.7977,2971.6,4,-81.0,900.0,1,-729.0,1,1,15.4,5.0,14.6,MSW
14,2023-07-23T12:00,2023-08-18T12:00,26,1,-72050.47018,217231.994983,3259.15,4,-37.0,900.0,1,-333.0,1,1,8.3,5.0,6.7,MSW
16,2023-07-23T12:00,2023-08-18T12:00,26,1,-72439.834029,217726.314909,3367.82,4,-29.0,900.0,1,-261.0,1,1,7.2,5.0,5.2,MSW
19,2023-07-23T12:00,2023-08-18T12:00,26,1,-72939.331168,217368.30593,3272.2,4,-68.0,900.0,1,-612.0,1,1,13.2,5.0,12.2,MSW
S3,2023-07-23T12:00,2023-08-18T12:00,26,1,-72842.211214,217503.650213,3303.88,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,MSW
2,2023-08-18T12:00,2023-09-18T12:00,31,1,-72471.587253,215771.554025,2806.67,4,-140.0,900.0,1,-1260.0,1,1,25.7,5.0,25.2,MSW
3,2023-08-18T12:00,2023-09-18T12:00,31,1,-72197.694303,215926.318099,2868.03,4,-117.0,900.0,1,-1053.0,1,1,21.6,5.0,21.1,MSW
4,2023-08-18T12:00,2023-09-18T12:00,31,1,-72445.600905,216163.288327,2923.54,4,-123.0,900.0,1,-1107.0,1,1,22.7,5.0,22.1,MSW
5,2023-08-18T12:00,2023-09-18T12:00,31,1,-72757.784028,216291.760198,2941.25,4,-165.0,900.0,1,-1485.0,1,1,30.1,5.0,29.7,MSW
8,2023-08-18T12:00,2023-09-18T12:00,31,1,-72866.276561,216677.698349,3040.14,4,-158.0,900.0,1,-1422.0,1,1,28.9,5.0,28.4,MSW
10,2023-08-18T12:00,2023-09-18T12:00,31,1,-72533.607431,216580.435621,3032.59,4,-133.0,900.0,1,-1197.0,1,1,24.5,5.0,23.9,MSW
11,2023-08-18T12:00,2023-09-18T12:00,31,1,-72204.707064,216459.776882,3040.1,4,-149.0,900.0,1,-1341.0,1,1,27.3,5.0,26.8,MSW
12,2023-08-18T12:00,2023-09-18T12:00,31,1,-72228.568817,216912.940896,3150.88,4,-122.0,900.0,1,-1098.0,1,1,22.5,5.0,22.0,MSW
13,2023-08-18T12:00,2023-09-18T12:00,31,1,-72602.317014,216371.7977,2971.6,4,-130.0,900.0,1,-1170.0,1,1,23.9,5.0,23.4,MSW
