"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer,QF (Flag to indicate whether the ...)
nan,NaN,2023-04-30T12:0,,3,-73122.419973,217349.661901,3239.02,,,,3,0.0,5,3,372.3,372.3,0.0,MSW,1
nan,NaN,2023-04-30T12:0,,3,-73066.6244085,217360.425221,3253.31,,,,3,126.0,5,3,372.5,372.3,10.1,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72999.6111687,217369.494014,3265.51,,,,3,126.0,5,3,372.5,372.3,10.1,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72963.9684468,217414.864479,3276.93,,,,3,438.0,5,3,374.0,372.3,35.0,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72928.8500822,217467.024169,3289.09,,,,3,787.0,5,3,377.6,372.3,63.0,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72897.6244141,217511.44875,3300.23,,,,3,751.0,5,3,377.1,372.3,60.1,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72775.8671881,217563.432094,3320.84,,,,3,769.0,5,3,377.4,372.3,61.5,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72693.0237236,217544.734639,3321.14,,,,3,879.0,5,3,378.9,372.3,70.3,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72603.2151931,217524.285046,3322.99,,,,3,696.0,5,3,376.5,372.3,55.7,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72516.7927017,217506.324485,3325.54,,,,3,842.0,5,3,378.4,372.3,67.4,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72447.0478875,217478.228767,3321.8,,,,3,604.0,5,3,375.4,372.3,48.3,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72366.9552784,217439.333156,3312.47,,,,3,751.0,5,3,377.1,372.3,60.1,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72276.1344889,217395.860034,3298.83,,,,3,1081.0,5,3,382.2,372.3,86.5,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72160.7488599,217380.219561,3285.55,,,,3,751.0,5,3,377.1,372.3,60.1,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72064.3588763,217270.079574,3263.82,,,,3,622.0,5,3,375.6,372.3,49.8,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72007.4427143,217204.563494,3256.38,,,,3,769.0,5,3,377.4,372.3,61.5,MSW,1
nan,NaN,2023-04-30T12:0,,3,-71944.9024757,217139.313183,3249.77,,,,3,971.0,5,3,380.3,372.3,77.7,MSW,1
nan,NaN,2023-04-30T12:0,,3,-71882.4148702,217069.61665,3240.94,,,,3,1155.0,5,3,383.6,372.3,92.4,MSW,1
nan,NaN,2023-04-30T12:0,,3,-71933.7567042,216994.187276,3228.27,,,,3,1210.0,5,3,384.7,372.3,96.8,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72021.6661309,217009.266314,3221.81,,,,3,842.0,5,3,378.4,372.3,67.4,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72126.7992409,217031.783849,3214.95,,,,3,1063.0,5,3,381.9,372.3,85.0,MSW,1
nan,NaN,2023-04-30T12:0,,3,-72237.2779858,217045.584574,3198.47,,,,3,1155.0,5,3,383.6,372.3,92.4,MSW,1
