"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
VEK-2,2022-10-01T12:00,2023-09-30T12:00,364,1,-77074.4861,220871.9345,2539,4,,,5,-4887.0,5,1,573.5,300.0,488.7,BS
VEK-6,2022-10-01T12:00,2023-09-30T12:00,364,1,-76845.0534,221025.0356,2583,4,,,5,-4194.0,5,1,515.7,300.0,419.4,BS
VEK-8,2022-10-01T12:00,2023-09-30T12:00,364,1,-76842.2513,221106.6041,2589,4,,,5,-4329.0,5,1,526.7,300.0,432.9,BS
VEK-12,2022-10-01T12:00,2023-09-30T12:00,364,1,-76580.0167,221117.5544,2648,4,,,5,-3690.0,5,1,475.6,300.0,369.0,BS
VEK-14,2022-10-01T12:00,2023-09-30T12:00,364,1,-76511.5182,221157.028,2672,4,,,5,-3321.0,5,1,447.6,300.0,332.1,BS
VEK-16,2022-10-01T12:00,2023-09-30T12:00,364,1,-76545.0005,221343.6833,2696,4,,,5,-2754.0,5,1,407.3,300.0,275.4,BS
VEK-18,2022-10-01T12:00,2023-09-30T12:00,364,1,-76354.6218,221473.4199,2752,4,,,5,-2295.0,5,1,377.8,300.0,229.5,BS
VEK-20,2022-10-01T12:00,2023-09-30T12:00,364,1,-76247.6615,221489.1652,2772,4,,,5,-2120.0,5,1,367.4,300.0,212.0,BS
VEK-22,2022-10-01T12:00,2023-09-30T12:00,364,1,-75651.8358,221421.6097,2853,4,,,5,-1161.0,5,1,321.7,300.0,116.1,BS
VEK-24,2022-10-01T12:00,2023-09-30T12:00,364,1,-75426.5243,221442.1982,2882,4,,,5,-1071.0,5,1,318.6,300.0,107.1,BS
VEK-26,2022-10-01T12:00,2023-09-30T12:00,364,1,-75254.2735,221335.5031,2905,4,,,5,0.0,5,1,300.0,300.0,0.0,BS
VEK-28,2022-10-01T12:00,2023-09-30T12:00,364,1,-75271.6672,221160.7303,2936,4,,,5,-666.0,5,1,307.3,300.0,66.6,BS
VEK-30,2022-10-01T12:00,2023-09-30T12:00,364,1,-75073.5625,220793.6687,3038,4,,,5,-774.0,5,1,309.9,300.0,77.4,BS
VEK-32,2022-10-01T12:00,2023-09-30T12:00,364,1,-75581.9293,220625.5758,3104,4,,,5,-1935.0,5,1,357.0,300.0,193.5,BS
VEK-34,2022-10-01T12:00,2023-09-30T12:00,364,1,-74734.8314,220099.6481,3178,4,,,5,-45.0,5,1,300.1,300.0,4.5,BS
Schacht 3,2022-10-01T12:00,2023-09-30T12:00,364,1,-74641.3163,220105.3315,3187,2,,,3,203.0,5,2,300.6,300.2,16.2,BS
