"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer
VEK-2,2021-10-01T12:00,2023-07-29T12:00,666,1,-77074.4861,220871.9345,2539,4,-229.0,900.0,1,-2061.0,1,1,41.5,5.0,41.2,BS
VEK-6,2021-10-01T12:00,2023-07-29T12:00,666,1,-76845.0534,221025.0356,2583,4,-189.0,900.0,1,-1701.0,1,1,34.4,5.0,34.0,BS
VEK-8,2021-10-01T12:00,2023-07-29T12:00,666,1,-76842.2513,221106.6041,2589,4,-194.0,900.0,1,-1746.0,1,1,35.3,5.0,34.9,BS
VEK-12,2021-10-01T12:00,2023-07-29T12:00,666,1,-76580.0167,221117.5544,2648,4,-135.0,900.0,1,-1215.0,1,1,24.8,5.0,24.3,BS
VEK-14,2021-10-01T12:00,2023-07-29T12:00,666,1,-76511.5182,221157.028,2672,4,-117.0,900.0,1,-1053.0,1,1,21.6,5.0,21.1,BS
VEK-16,2021-10-01T12:00,2023-07-29T12:00,666,1,-76545.0005,221343.6833,2696,4,-77.0,900.0,1,-693.0,1,1,14.7,5.0,13.9,BS
VEK-18,2021-10-01T12:00,2023-07-29T12:00,666,1,-76354.6218,221473.4199,2752,4,-69.0,900.0,1,-621.0,1,1,13.4,5.0,12.4,BS
VEK-20,2021-10-01T12:00,2023-07-29T12:00,666,1,-76247.6615,221489.1652,2772,4,-68.0,900.0,1,-612.0,1,1,13.2,5.0,12.2,BS
VEK-22,2021-10-01T12:00,2023-07-29T12:00,666,1,-75651.8358,221421.6097,2853,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-24,2021-10-01T12:00,2023-07-29T12:00,666,1,-75426.5243,221442.1982,2882,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-26,2021-10-01T12:00,2023-07-29T12:00,666,1,-75254.2735,221335.5031,2905,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-28,2021-10-01T12:00,2023-07-29T12:00,666,1,-75271.6672,221160.7303,2936,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-30,2021-10-01T12:00,2023-07-29T12:00,666,1,-75073.5625,220793.6687,3038,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-32,2021-10-01T12:00,2023-07-29T12:00,666,1,-75581.9293,220625.5758,3104,4,-70.0,900.0,1,-630.0,1,1,13.6,5.0,12.6,BS
VEK-34,2021-10-01T12:00,2023-07-29T12:00,666,1,-74734.8314,220099.6481,3178,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-2,2023-07-29T12:00,2023-08-26T12:00,28,1,-77074.4861,220871.9345,2539,4,-173.0,900.0,1,-1557.0,1,1,31.5,5.0,31.1,BS
VEK-6,2023-07-29T12:00,2023-08-26T12:00,28,1,-76845.0534,221025.0356,2583,4,-163.0,900.0,1,-1467.0,1,1,29.8,5.0,29.3,BS
VEK-8,2023-07-29T12:00,2023-08-26T12:00,28,1,-76842.2513,221106.6041,2589,4,-163.0,900.0,1,-1467.0,1,1,29.8,5.0,29.3,BS
VEK-12,2023-07-29T12:00,2023-08-26T12:00,28,1,-76580.0167,221117.5544,2648,4,-150.0,900.0,1,-1350.0,1,1,27.5,5.0,27.0,BS
VEK-14,2023-07-29T12:00,2023-08-26T12:00,28,1,-76511.5182,221157.028,2672,4,-141.0,900.0,1,-1269.0,1,1,25.9,5.0,25.4,BS
VEK-16,2023-07-29T12:00,2023-08-26T12:00,28,1,-76545.0005,221343.6833,2696,4,-132.0,900.0,1,-1188.0,1,1,24.3,5.0,23.8,BS
VEK-18,2023-07-29T12:00,2023-08-26T12:00,28,1,-76354.6218,221473.4199,2752,4,-97.0,900.0,1,-873.0,1,1,18.2,5.0,17.5,BS
VEK-20,2023-07-29T12:00,2023-08-26T12:00,28,1,-76247.6615,221489.1652,2772,4,-82.0,900.0,1,-738.0,1,1,15.6,5.0,14.8,BS
VEK-22,2023-07-29T12:00,2023-08-26T12:00,28,1,-75651.8358,221421.6097,2853,4,-81.0,900.0,1,-729.0,1,1,15.4,5.0,14.6,BS
VEK-24,2023-07-29T12:00,2023-08-26T12:00,28,1,-75426.5243,221442.1982,2882,4,-64.0,900.0,1,-576.0,1,1,12.6,5.0,11.5,BS
VEK-26,2023-07-29T12:00,2023-08-26T12:00,28,1,-75254.2735,221335.5031,2905,4,-53.0,900.0,1,-477.0,1,1,10.8,5.0,9.5,BS
VEK-28,2023-07-29T12:00,2023-08-26T12:00,28,1,-75271.6672,221160.7303,2936,4,-28.0,900.0,1,-252.0,1,1,7.1,5.0,5.0,BS
VEK-30,2023-07-29T12:00,2023-08-26T12:00,28,1,-75073.5625,220793.6687,3038,4,-27.0,900.0,1,-243.0,1,1,7.0,5.0,4.9,BS
VEK-32,2023-07-29T12:00,2023-08-26T12:00,28,1,-75581.9293,220625.5758,3104,4,-70.0,900.0,1,-630.0,1,1,13.6,5.0,12.6,BS
VEK-34,2023-07-29T12:00,2023-08-26T12:00,28,1,-74734.8314,220099.6481,3178,4,0.0,900.0,1,0.0,1,1,5.0,5.0,0.0,BS
VEK-2,2023-08-26T12:00,2023-09-20T12:00,25,1,-77074.4861,220871.9345,2539,4,-111.0,900.0,1,-999.0,1,1,20.6,5.0,20.0,BS
VEK-6,2023-08-26T12:00,2023-09-20T12:00,25,1,-76845.0534,221025.0356,2583,4,-89.0,900.0,1,-801.0,1,1,16.8,5.0,16.0,BS
VEK-8,2023-08-26T12:00,2023-09-20T12:00,25,1,-76842.2513,221106.6041,2589,4,-99.0,900.0,1,-891.0,1,1,18.5,5.0,17.8,BS
VEK-12,2023-08-26T12:00,2023-09-20T12:00,25,1,-76580.0167,221117.5544,2648,4,-100.0,900.0,1,-900.0,1,1,18.7,5.0,18.0,BS
VEK-14,2023-08-26T12:00,2023-09-20T12:00,25,1,-76511.5182,221157.028,2672,4,-86.0,900.0,1,-774.0,1,1,16.3,5.0,15.5,BS
VEK-16,2023-08-26T12:00,2023-09-20T12:00,25,1,-76545.0005,221343.6833,2696,4,-77.0,900.0,1,-693.0,1,1,14.7,5.0,13.9,BS
VEK-18,2023-08-26T12:00,2023-09-20T12:00,25,1,-76354.6218,221473.4199,2752,4,-74.0,900.0,1,-666.0,1,1,14.2,5.0,13.3,BS
VEK-20,2023-08-26T12:00,2023-09-20T12:00,25,1,-76247.6615,221489.1652,2772,4,-70.5,900.0,1,-634.5,1,1,13.6,5.0,12.7,BS
VEK-22,2023-08-26T12:00,2023-09-20T12:00,25,1,-75651.8358,221421.6097,2853,4,-39.0,900.0,1,-351.0,1,1,8.6,5.0,7.0,BS
VEK-24,2023-08-26T12:00,2023-09-20T12:00,25,1,-75426.5243,221442.1982,2882,4,-50.0,900.0,1,-450.0,1,1,10.3,5.0,9.0,BS
VEK-26,2023-08-26T12:00,2023-09-20T12:00,25,1,-75254.2735,221335.5031,2905,4,53.0,900.0,1,477.0,1,1,10.8,5.0,9.5,BS
VEK-28,2023-08-26T12:00,2023-09-20T12:00,25,1,-75271.6672,221160.7303,2936,4,-43.0,900.0,1,-387.0,1,1,9.2,5.0,7.7,BS
VEK-30,2023-08-26T12:00,2023-09-20T12:00,25,1,-75073.5625,220793.6687,3038,4,-54.0,900.0,1,-486.0,1,1,10.9,5.0,9.7,BS
VEK-32,2023-08-26T12:00,2023-09-20T12:00,25,1,-75581.9293,220625.5758,3104,4,-70.0,900.0,1,-630.0,1,1,13.6,5.0,12.6,BS
VEK-34,2023-08-26T12:00,2023-09-20T12:00,25,1,-74734.8314,220099.6481,3178,4,-4.0,900.0,1,-36.0,1,1,5.1,5.0,0.7,BS
Schacht 1,2022-10-01T12:00,2023-05-03T12:00,214,3,-76914.9947,220959.9947,2564,2,1830.0,372.0,2,680.8,1,2,312.0,310.2,34.0,BS
Schacht 2,2022-10-01T12:00,2023-05-03T12:00,214,3,-75394.1141,221330.1168,2894,2,3490.0,391.0,2,1364.6,1,2,317.6,310.2,68.2,BS
Schacht 3,2022-10-01T12:00,2023-05-03T12:00,214,3,-74641.3163,220105.3315,3187,2,3740.0,360.0,2,1346.4,1,2,230.3,220.2,67.3,BS
