"Name (stake, sounding, probing)",Date/Time (begin of period),Date/Time (end of period),Duration [days] (period length),QF date (quality identifier for date),"x [m] (x-position of stake, EPSG:31255)","y [m] (y-position of stake, EPSG:31255)",z [m] (elevation of stake),QF pos (quality identifier for position),MB raw [cm] (raw mass balance measurement),Dens snow/firn/ice [kg/m**3],QF rho (quality identifier for density),MB point [mm w.e./kg/m**2],QF measurement (quality identifier for stake ...),measurement_type,MB point unc [mm w.e.] (Uncertainty of point mass bal...),Reading unc [mm w.e.] (Reading uncertainty of point ...),Density unc [mm w.e.] (Density uncertainty of point ...),Observer,QF (Flag to indicate whether the ...)
081,NaN,2023-04-30T12:0,,3,-77157.2127,220846.0,2521.23528159,,,,3,673.0,5,3,435.0,431.7,53.8,BS,0
082,NaN,2023-04-30T12:0,,3,-77104.7029,220816.0,2528.41397045,,,,3,561.0,5,3,434.0,431.7,44.9,BS,1
083,NaN,2023-04-30T12:0,,3,-76976.7083,220826.0,2544.59637794,,,,3,1103.0,5,3,440.6,431.7,88.2,BS,1
084,NaN,2023-04-30T12:0,,3,-76982.6905,220886.0,2551.30394062,,,,3,748.0,5,3,435.8,431.7,59.8,BS,0
085,NaN,2023-04-30T12:0,,3,-76961.8297,220950.0,2558.82921851,,,,3,692.0,5,3,435.2,431.7,55.4,BS,0
086,NaN,2023-04-30T12:0,,3,-76945.357,220997.0,2567.83826959,,,,3,673.0,5,3,435.0,431.7,53.8,BS,0
087,NaN,2023-04-30T12:0,,3,-76891.0367,220984.0,2570.30612992,,,,3,748.0,5,3,435.8,431.7,59.8,BS,1
088,NaN,2023-04-30T12:0,,3,-76824.9401,220996.0,2578.97666055,,,,3,561.0,5,3,434.0,431.7,44.9,BS,1
089,NaN,2023-04-30T12:0,,3,-76742.1212,221004.0,2595.84037404,,,,3,1085.0,5,3,440.3,431.7,86.8,BS,1
090,NaN,2023-04-30T12:0,,3,-76722.926,221057.0,2611.14377653,,,,3,729.0,5,3,435.6,431.7,58.3,BS,1
091,NaN,2023-04-30T12:0,,3,-76715.4032,221087.0,2612.64746018,,,,3,655.0,5,3,434.8,431.7,52.4,BS,1
092,NaN,2023-04-30T12:0,,3,-76748.3622,221079.0,2606.60561037,,,,3,823.0,5,3,436.6,431.7,65.8,BS,0
093,NaN,2023-04-30T12:0,,3,-76792.9625,221086.0,2599.34042971,,,,3,954.0,5,3,438.3,431.7,76.3,BS,0
094,NaN,2023-04-30T12:0,,3,-76883.7289,221068.0,2583.96747861,,,,3,898.0,5,3,437.6,431.7,71.8,BS,0
095,NaN,2023-04-30T12:0,,3,-77016.3925,220973.0,2556.69125596,,,,3,692.0,5,3,435.2,431.7,55.4,BS,0
096,NaN,2023-04-30T12:0,,3,-76531.0804,221535.0,2720.00432846,,,,3,1234.0,5,3,442.8,431.7,98.7,BS,1
